Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.24,-.08,-.16,-.09,-.21,-.18,-.10,-.14,-.23,-.21,-.17,-.16,***,***,-.11,-.16,-.19
1881,-.19,-.13,.04,.06,.07,-.18,.01,-.03,-.15,-.21,-.18,-.06,-.08,-.09,-.16,.05,-.07,-.18
1882,.17,.14,.05,-.15,-.13,-.22,-.16,-.07,-.14,-.23,-.16,-.36,-.11,-.08,.08,-.08,-.15,-.18
1883,-.29,-.36,-.12,-.18,-.17,-.07,-.07,-.13,-.22,-.11,-.24,-.11,-.17,-.19,-.33,-.16,-.09,-.19
1884,-.12,-.08,-.36,-.40,-.33,-.34,-.30,-.27,-.27,-.24,-.33,-.30,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.41,-.45,-.43,-.33,-.31,-.28,-.23,-.23,-.10,-.33,-.35,-.40,-.37,-.36,-.25
1886,-.43,-.50,-.42,-.28,-.24,-.34,-.17,-.30,-.23,-.27,-.27,-.25,-.31,-.30,-.35,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.25,-.35,-.25,-.35,-.26,-.32,-.36,-.35,-.51,-.33,-.28,-.29
1888,-.33,-.35,-.41,-.20,-.21,-.17,-.10,-.15,-.11,.02,.03,-.03,-.17,-.19,-.34,-.27,-.14,-.02
1889,-.08,.17,.07,.10,.00,-.10,-.07,-.20,-.23,-.25,-.33,-.28,-.10,-.08,.02,.05,-.12,-.27
1890,-.41,-.44,-.40,-.29,-.39,-.24,-.27,-.39,-.36,-.24,-.43,-.31,-.35,-.35,-.38,-.36,-.30,-.34
1891,-.33,-.47,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.29,-.11,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.13,-.41,-.37,-.27,-.24,-.15,-.32,-.27,-.24
1893,-.81,-.56,-.22,-.27,-.33,-.25,-.14,-.25,-.22,-.18,-.18,-.31,-.31,-.31,-.58,-.27,-.21,-.19
1894,-.52,-.28,-.22,-.44,-.30,-.40,-.23,-.23,-.27,-.22,-.25,-.20,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.40,-.42,-.32,-.21,-.27,-.21,-.16,-.17,-.12,-.10,-.16,-.13,-.22,-.23,-.34,-.27,-.18,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.07,.07,-.04,-.04,-.11,-.11,-.16,-.23,-.06,-.01
1897,-.14,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.13,-.17,-.20,-.11,-.09,-.12,-.05,-.07,-.13
1898,-.02,-.30,-.51,-.31,-.30,-.19,-.22,-.27,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.23,-.31
1899,-.16,-.38,-.36,-.20,-.23,-.31,-.16,-.08,-.05,-.04,.13,-.26,-.17,-.17,-.26,-.26,-.18,.01
1900,-.36,-.05,.01,-.09,-.08,-.09,-.13,-.09,-.05,.10,-.07,-.07,-.08,-.10,-.22,-.06,-.10,-.01
1901,-.21,-.11,.06,-.02,-.15,-.12,-.14,-.20,-.22,-.29,-.18,-.27,-.15,-.14,-.13,-.04,-.15,-.23
